epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,12026.3,0.68197,0.40921,1.02087,0.01093,0.9743,0.96939,0.98723,0.84183,0.50084,0.29909,0.92721,0.00173,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,12161.9,0.68506,0.41061,1.02302,0.0108,0.97637,0.96763,0.98709,0.84193,0.50078,0.29828,0.9271,0.00173,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,12298.1,0.67778,0.40883,1.02271,0.01056,0.97461,0.96862,0.9871,0.84205,0.50066,0.29811,0.92743,0.00159,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,12434.5,0.67962,0.41138,1.02214,0.01067,0.9769,0.96713,0.98702,0.84219,0.50008,0.29751,0.92753,0.00152,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,12570.4,0.67825,0.40837,1.02081,0.01019,0.97429,0.969,0.98707,0.84235,0.50008,0.29712,0.92737,0.00156,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,12705.9,0.67181,0.40419,1.01741,0.01008,0.97589,0.96796,0.98711,0.84255,0.50011,0.29717,0.927,0.00149,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,12836.5,0.58174,0.34244,0.98483,0.00538,0.97527,0.96879,0.98734,0.84258,0.5009,0.29705,0.92738,0.00147,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,12962.7,0.58222,0.34113,0.98642,0.00522,0.97575,0.96853,0.98732,0.8428,0.50152,0.29696,0.92752,0.00155,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,13091.7,0.58169,0.33912,0.98604,0.00507,0.97607,0.96871,0.98741,0.84289,0.50182,0.29695,0.92768,0.00164,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,13217.4,0.58065,0.3392,0.98139,0.00497,0.97652,0.96854,0.98756,0.84295,0.50175,0.29675,0.9277,0.00179,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,13345,0.5764,0.33735,0.97931,0.00445,0.97609,0.9697,0.98763,0.84322,0.50166,0.29657,0.9277,0.00161,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,13470.1,0.57653,0.3361,0.9802,0.00465,0.97605,0.9697,0.98754,0.84323,0.50185,0.29623,0.92775,0.00148,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,13595.5,0.57502,0.3365,0.97583,0.00472,0.97547,0.97003,0.98753,0.84356,0.50197,0.29624,0.9278,0.00153,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,13722.7,0.57334,0.33335,0.98016,0.0043,0.97547,0.97042,0.98758,0.84357,0.5019,0.29587,0.92779,0.00159,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,13846.7,0.57036,0.33351,0.97448,0.0047,0.9765,0.96918,0.98747,0.84379,0.50211,0.29605,0.92785,0.00154,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,13972.7,0.57406,0.33333,0.97969,0.00459,0.97685,0.9692,0.98761,0.84389,0.50211,0.29599,0.92785,0.00161,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
